pollster,state,population,day,weighted_clinton,weighted_trump,samplesize_total,c-minus-t
ABC News/Washington Post,Maryland,lv,2016-09-27,63.0,27.0,706.0,36.0
ABC News/Washington Post,Maryland,lv,2016-09-28,63.0,27.0,706.0,36.0
ABC News/Washington Post,Maryland,lv,2016-09-29,63.0,27.0,706.0,36.0
ABC News/Washington Post,Maryland,lv,2016-09-30,63.0,27.0,706.0,36.0
ABC News/Washington Post,Maryland,rv,2016-03-30,63.0,28.0,752.0,35.0
ABC News/Washington Post,Maryland,rv,2016-03-31,63.0,28.0,752.0,35.0
ABC News/Washington Post,Maryland,rv,2016-04-01,63.0,28.0,752.0,35.0
ABC News/Washington Post,Maryland,rv,2016-04-02,63.0,28.0,752.0,35.0
ABC News/Washington Post,Maryland,rv,2016-04-03,63.0,28.0,752.0,35.0
ABC News/Washington Post,U.S.,lv,2016-06-20,48.0,39.0,545.0,9.0
ABC News/Washington Post,U.S.,lv,2016-06-21,48.0,39.0,545.0,9.0
ABC News/Washington Post,U.S.,lv,2016-06-22,48.0,39.0,545.0,9.0
ABC News/Washington Post,U.S.,lv,2016-06-23,48.0,39.0,545.0,9.0
ABC News/Washington Post,U.S.,lv,2016-07-11,45.0,39.0,543.0,6.0
ABC News/Washington Post,U.S.,lv,2016-07-12,45.0,39.0,543.0,6.0
ABC News/Washington Post,U.S.,lv,2016-07-13,45.0,39.0,543.0,6.0
ABC News/Washington Post,U.S.,lv,2016-07-14,45.0,39.0,543.0,6.0
ABC News/Washington Post,U.S.,lv,2016-08-01,48.0,40.0,682.0,8.0
ABC News/Washington Post,U.S.,lv,2016-08-02,48.0,40.0,682.0,8.0
ABC News/Washington Post,U.S.,lv,2016-08-03,48.0,40.0,682.0,8.0
ABC News/Washington Post,U.S.,lv,2016-08-04,48.0,40.0,682.0,8.0
ABC News/Washington Post,U.S.,lv,2016-09-05,46.0,41.0,642.0,5.0
ABC News/Washington Post,U.S.,lv,2016-09-06,46.0,41.0,642.0,5.0
ABC News/Washington Post,U.S.,lv,2016-09-07,46.0,41.0,642.0,5.0
ABC News/Washington Post,U.S.,lv,2016-09-08,46.0,41.0,642.0,5.0
ABC News/Washington Post,U.S.,lv,2016-09-19,46.0,44.0,651.0,2.0
