,index,day,population,grade,c_minus_t_raw,c_minus_t_adj
0,0,2015-11-15,rv,A,11.0,8.390330000000006
1,1,2015-11-16,rv,A,4.661068894964697,3.1838925170306047
2,2,2015-11-16,v,B+,1.0,0.673490000000001
3,3,2015-11-17,rv,A,4.661068894964697,3.1838925170306047
4,4,2015-11-17,v,B+,1.0,0.673490000000001
5,5,2015-11-18,rv,A,4.661068894964697,3.1838925170306047
6,6,2015-11-19,rv,A,4.661068894964697,3.1838925170306047
7,7,2015-11-20,rv,A,11.0,8.390330000000006
8,8,2015-11-21,rv,A,11.0,8.390330000000006
9,9,2015-11-22,rv,A,11.0,8.390330000000006
10,10,2015-11-23,rv,A,11.0,8.390330000000006
11,11,2015-11-23,rv,A-,6.0,6.402239999999999
12,12,2015-11-24,rv,A,11.0,8.390330000000006
13,13,2015-11-24,rv,A-,6.0,6.402239999999999
14,14,2015-11-25,rv,A,11.0,8.390330000000006
15,15,2015-11-25,rv,A-,6.0,6.402239999999999
16,16,2015-11-26,rv,A,11.0,8.390330000000006
17,17,2015-11-26,rv,A-,6.0,6.402239999999999
18,18,2015-11-27,rv,A,11.0,8.390330000000006
19,19,2015-11-27,rv,A-,4.671696130068911,5.078492212342773
20,20,2015-11-28,rv,A,11.0,8.390330000000006
21,21,2015-11-28,rv,A-,4.671696130068911,5.078492212342773
22,22,2015-11-29,lv,C+,14.0,9.871919999999996
23,23,2015-11-29,rv,A,11.0,8.390330000000006
24,24,2015-11-29,rv,A-,4.671696130068911,5.078492212342773
25,25,2015-11-30,lv,C+,14.0,9.871919999999996
26,26,2015-11-30,rv,A,11.0,8.390330000000006
27,27,2015-11-30,rv,A-,4.671696130068911,5.078492212342773
28,28,2015-12-01,lv,C+,14.0,9.871919999999996
29,29,2015-12-01,rv,A,11.0,8.390330000000006
30,30,2015-12-01,rv,A-,3.0,3.4125299999999967
31,31,2015-12-02,lv,B+,3.5,2.899149999999999
32,32,2015-12-02,lv,C+,14.0,9.871919999999996
33,33,2015-12-02,rv,A,11.0,8.390330000000006
34,34,2015-12-03,lv,B+,3.5,2.899149999999999
35,35,2015-12-03,lv,C+,14.0,9.871919999999996
36,36,2015-12-04,lv,B+,3.5,2.899149999999999
37,37,2015-12-05,lv,B+,3.5,2.899149999999999
38,38,2015-12-06,lv,B+,3.5,2.899149999999999
39,39,2015-12-06,rv,A-,10.0,7.34458
40,40,2015-12-07,rv,A-,10.0,7.34458
41,41,2015-12-07,rv,B-,2.0,1.842480000000002
42,42,2015-12-08,rv,A-,10.0,7.34458
43,43,2015-12-08,rv,B-,2.0,1.842480000000002
44,44,2015-12-09,rv,A-,10.0,7.34458
45,45,2015-12-10,rv,A+,6.0,3.9364500000000007
46,46,2015-12-11,rv,A+,6.0,3.9364500000000007
47,47,2015-12-12,rv,A+,6.0,3.9364500000000007
48,48,2015-12-13,lv,A-,10.0,9.2999
49,49,2015-12-13,rv,A+,6.0,3.9364500000000007
50,50,2015-12-14,lv,A-,12.9,12.170500000000004
51,51,2015-12-15,lv,A-,10.5,9.74111
52,52,2015-12-16,lv,A-,12.8,12.01039
53,53,2015-12-16,rv,A,11.0,10.37977
54,54,2015-12-16,rv,A-,7.0,6.78689
55,55,2015-12-16,v,B+,2.0,0.7649900000000045
56,56,2015-12-17,lv,A-,12.300000000000004,11.48003
57,57,2015-12-17,rv,A,11.0,10.37977
58,58,2015-12-17,rv,A-,4.629153650871662,4.434778078722474
59,59,2015-12-17,rv,B,2.0,2.3051499999999976
60,60,2015-12-17,v,B+,2.0,0.7649900000000045
61,61,2015-12-18,lv,A-,11.200000000000005,10.34618
62,62,2015-12-18,rv,A-,4.629153650871662,4.434778078722474
63,63,2015-12-18,rv,B,2.0,2.3051499999999976
64,64,2015-12-19,lv,A-,7.900000000000006,7.014659999999999
65,65,2015-12-19,rv,A-,4.629153650871662,4.434778078722474
66,66,2015-12-19,rv,B,2.0,2.3051499999999976
67,67,2015-12-20,lv,A-,8.299999999999997,7.38241
68,68,2015-12-20,rv,A-,4.629153650871662,4.434778078722474
69,69,2015-12-20,rv,B,2.0,2.3051499999999976
70,70,2015-12-21,lv,A-,6.200000000000003,5.248750000000001
71,71,2015-12-21,rv,A-,2.0,1.8264
72,72,2015-12-22,lv,A-,5.899999999999999,4.914520000000003
73,73,2015-12-22,lv,C+,1.0,0.2615300000000005
74,74,2015-12-23,lv,A-,6.799999999999997,5.783520000000003
75,75,2015-12-23,lv,C+,1.0,0.2615300000000005
76,76,2015-12-24,lv,A-,9.200000000000005,8.15233
77,77,2015-12-25,lv,A-,8.0,6.92098
78,78,2015-12-26,lv,A-,7.700000000000003,6.589530000000003
79,79,2015-12-27,lv,A-,8.300000000000004,7.159929999999996
80,80,2015-12-28,lv,A-,-3.0,-4.170920000000002
81,81,2015-12-29,lv,A-,7.799999999999997,6.598219999999998
82,82,2015-12-30,lv,A-,7.399999999999999,6.167369999999998
83,83,2015-12-31,lv,A-,7.199999999999996,5.936520000000002
84,84,2016-01-01,lv,A-,5.399999999999999,4.107579999999999
85,85,2016-01-02,lv,A-,5.299999999999997,3.980489999999996
86,86,2016-01-03,lv,A-,2.0,0.6518800000000056
87,87,2016-01-04,lv,A-,3.1000000000000014,1.720950000000002
88,88,2016-01-04,rv,A,-3.0,-4.240410000000004
89,89,2016-01-05,lv,A-,4.700000000000003,3.292430000000003
90,90,2016-01-05,rv,A,-3.0,-4.240410000000004
91,91,2016-01-06,lv,A-,7.0,5.564079999999997
92,92,2016-01-06,rv,A,-3.0,-4.240410000000004
93,93,2016-01-07,lv,A-,8.200000000000003,6.736229999999999
94,94,2016-01-07,rv,A,-3.0,-4.240410000000004
95,95,2016-01-08,lv,A-,10.0,8.506009999999996
96,96,2016-01-09,lv,A-,8.299999999999997,6.77619
97,97,2016-01-09,rv,A-,10.0,6.319369999999999
98,98,2016-01-10,lv,A-,7.100000000000001,5.544499999999999
