,index,day,population,c_minus_t_raw,c_minus_t_adj
0,0,2015-11-13,rv,1.0,0.3055799999999991
1,1,2015-11-14,rv,1.0,0.3055799999999991
2,2,2015-11-15,rv,6.2061512704960204,4.514623148414272
3,3,2015-11-16,rv,3.3528760133716133,2.1553983657846425
4,4,2015-11-16,v,1.0,0.673490000000001
5,5,2015-11-17,rv,4.661068894964697,3.1838925170306047
6,6,2015-11-17,v,1.0,0.673490000000001
7,7,2015-11-18,rv,4.661068894964697,3.1838925170306047
8,8,2015-11-19,rv,4.661068894964697,3.1838925170306047
9,9,2015-11-20,rv,11.0,8.390330000000006
10,10,2015-11-21,rv,11.0,8.390330000000006
11,11,2015-11-22,rv,11.0,8.390330000000006
12,12,2015-11-23,rv,8.793244197514557,7.512884171327346
13,13,2015-11-24,rv,8.793244197514557,7.512884171327346
14,14,2015-11-25,rv,8.793244197514557,7.512884171327346
15,15,2015-11-26,rv,8.793244197514557,7.512884171327346
16,16,2015-11-27,rv,7.289097248785936,6.448275981989371
17,17,2015-11-28,rv,7.289097248785936,6.448275981989371
18,18,2015-11-29,lv,14.0,9.871919999999996
19,19,2015-11-29,rv,7.289097248785936,6.448275981989371
20,20,2015-11-30,lv,14.0,9.871919999999996
21,21,2015-11-30,rv,7.289097248785936,6.448275981989371
22,22,2015-12-01,lv,14.0,9.871919999999996
23,23,2015-12-01,rv,7.91476508679934,6.470619706133722
24,24,2015-12-02,lv,8.366085079958493,6.130587339331634
25,25,2015-12-02,rv,11.0,8.390330000000006
26,26,2015-12-03,lv,8.366085079958493,6.130587339331634
27,27,2015-12-03,rv,-5.0,-6.329360000000001
28,28,2015-12-04,lv,3.5,2.899149999999999
29,29,2015-12-04,rv,-5.0,-6.329360000000001
30,30,2015-12-05,lv,3.5,2.899149999999999
31,31,2015-12-05,rv,-5.0,-6.329360000000001
32,32,2015-12-06,lv,3.5,2.899149999999999
33,33,2015-12-06,rv,0.8759869415266537,-0.9728338080520691
34,34,2015-12-07,rv,1.2977077580402891,0.08344968342836756
35,35,2015-12-08,rv,5.158418355514801,4.01472170423475
36,36,2015-12-09,rv,10.0,7.34458
37,37,2015-12-10,rv,6.0,3.9364500000000007
38,38,2015-12-11,rv,5.314633268651055,3.5982900547524306
39,39,2015-12-12,rv,5.314633268651055,3.5982900547524306
40,40,2015-12-13,lv,10.0,9.2999
41,41,2015-12-13,rv,5.314633268651055,3.5982900547524306
42,42,2015-12-14,lv,12.9,12.170500000000004
43,43,2015-12-14,rv,5.0,3.4430499999999995
44,44,2015-12-15,lv,10.5,9.74111
45,45,2015-12-15,rv,5.0,3.4430499999999995
46,46,2015-12-16,lv,12.8,12.01039
47,47,2015-12-16,rv,8.940961139159272,8.530300114415642
48,48,2015-12-16,v,2.0,0.7649900000000045
49,49,2015-12-17,lv,12.300000000000004,11.48003
50,50,2015-12-17,rv,5.686464760944332,5.49340543267221
51,51,2015-12-17,v,2.0,0.7649900000000045
52,52,2015-12-18,lv,11.200000000000005,10.34618
53,53,2015-12-18,rv,3.8416071542511494,3.7968613362199912
54,54,2015-12-19,lv,7.900000000000006,7.014659999999999
55,55,2015-12-19,rv,3.8416071542511494,3.7968613362199912
56,56,2015-12-20,lv,8.299999999999997,7.38241
57,57,2015-12-20,rv,3.8416071542511494,3.7968613362199912
58,58,2015-12-21,lv,6.200000000000003,5.248750000000001
59,59,2015-12-21,rv,2.0,1.8264
60,60,2015-12-22,lv,3.6410899564002825,2.7694820727001965
61,61,2015-12-23,lv,4.150021212728051,3.2605620062883087
62,62,2015-12-24,lv,9.200000000000005,8.15233
63,63,2015-12-25,lv,8.0,6.92098
64,64,2015-12-26,lv,7.700000000000003,6.589530000000003
65,65,2015-12-27,lv,8.300000000000004,7.159929999999996
66,66,2015-12-28,lv,-3.0,-4.170920000000002
67,67,2015-12-29,lv,7.799999999999997,6.598219999999998
68,68,2015-12-30,lv,7.399999999999999,6.167369999999998
69,69,2015-12-31,lv,7.199999999999996,5.936520000000002
70,70,2016-01-01,lv,5.399999999999999,4.107579999999999
71,71,2016-01-02,lv,5.299999999999997,3.980489999999996
72,72,2016-01-03,lv,2.0,0.6518800000000056
73,73,2016-01-04,lv,3.1000000000000014,1.720950000000002
74,74,2016-01-04,rv,-3.0,-4.240410000000004
75,75,2016-01-05,lv,4.700000000000003,3.292430000000003
76,76,2016-01-05,rv,-3.0,-4.240410000000004
77,77,2016-01-06,lv,7.0,5.564079999999997
78,78,2016-01-06,rv,-3.0,-4.240410000000004
79,79,2016-01-07,lv,8.200000000000003,6.736229999999999
80,80,2016-01-07,rv,-3.0,-4.240410000000004
81,81,2016-01-08,lv,10.0,8.506009999999996
82,82,2016-01-08,rv,-2.0,-4.379450000000006
83,83,2016-01-09,lv,8.299999999999997,6.77619
84,84,2016-01-09,rv,2.531542414344887,-0.3392702822132236
85,85,2016-01-10,lv,7.100000000000001,5.544499999999999
86,86,2016-01-10,rv,0.736028209011787,-1.454107046398278
87,87,2016-01-11,lv,6.600000000000001,5.01482
88,88,2016-01-11,rv,10.0,6.319369999999999
89,89,2016-01-12,lv,9.0,7.386110000000002
90,90,2016-01-12,rv,10.0,6.319369999999999
