state,startdate,enddate,pollster,grade,samplesize,population,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump,samplesizeadj,day,c_minus_t_raw,c_minus_t_adj
Maryland,2016-09-27,2016-09-30,ABC News/Washington Post,A+,706.0,lv,63.0,27.0,62.70862,28.73903,706.0,2016-09-27,36.0,33.969590000000004
Maryland,2016-09-27,2016-09-30,ABC News/Washington Post,A+,706.0,lv,63.0,27.0,62.70862,28.73903,706.0,2016-09-28,36.0,33.969590000000004
Maryland,2016-09-27,2016-09-30,ABC News/Washington Post,A+,706.0,lv,63.0,27.0,62.70862,28.73903,706.0,2016-09-29,36.0,33.969590000000004
Maryland,2016-09-27,2016-09-30,ABC News/Washington Post,A+,706.0,lv,63.0,27.0,62.70862,28.73903,706.0,2016-09-30,36.0,33.969590000000004
Maryland,2016-03-30,2016-04-03,ABC News/Washington Post,A+,752.0,rv,63.0,28.0,60.84333,30.40937,752.0,2016-03-30,35.0,30.433960000000003
Maryland,2016-03-30,2016-04-03,ABC News/Washington Post,A+,752.0,rv,63.0,28.0,60.84333,30.40937,752.0,2016-03-31,35.0,30.433960000000003
Maryland,2016-03-30,2016-04-03,ABC News/Washington Post,A+,752.0,rv,63.0,28.0,60.84333,30.40937,752.0,2016-04-01,35.0,30.433960000000003
Maryland,2016-03-30,2016-04-03,ABC News/Washington Post,A+,752.0,rv,63.0,28.0,60.84333,30.40937,752.0,2016-04-02,35.0,30.433960000000003
Maryland,2016-03-30,2016-04-03,ABC News/Washington Post,A+,752.0,rv,63.0,28.0,60.84333,30.40937,752.0,2016-04-03,35.0,30.433960000000003
U.S.,2016-06-20,2016-06-23,ABC News/Washington Post,A+,545.0,lv,48.0,39.0,49.01023,42.09547,545.0,2016-06-20,9.0,6.914760000000001
U.S.,2016-06-20,2016-06-23,ABC News/Washington Post,A+,545.0,lv,48.0,39.0,49.01023,42.09547,545.0,2016-06-21,9.0,6.914760000000001
U.S.,2016-06-20,2016-06-23,ABC News/Washington Post,A+,545.0,lv,48.0,39.0,49.01023,42.09547,545.0,2016-06-22,9.0,6.914760000000001
U.S.,2016-06-20,2016-06-23,ABC News/Washington Post,A+,545.0,lv,48.0,39.0,49.01023,42.09547,545.0,2016-06-23,9.0,6.914760000000001
U.S.,2016-07-11,2016-07-14,ABC News/Washington Post,A+,543.0,lv,45.0,39.0,46.22692,41.98976,543.0,2016-07-11,6.0,4.237160000000003
U.S.,2016-07-11,2016-07-14,ABC News/Washington Post,A+,543.0,lv,45.0,39.0,46.22692,41.98976,543.0,2016-07-12,6.0,4.237160000000003
U.S.,2016-07-11,2016-07-14,ABC News/Washington Post,A+,543.0,lv,45.0,39.0,46.22692,41.98976,543.0,2016-07-13,6.0,4.237160000000003
U.S.,2016-07-11,2016-07-14,ABC News/Washington Post,A+,543.0,lv,45.0,39.0,46.22692,41.98976,543.0,2016-07-14,6.0,4.237160000000003
U.S.,2016-08-01,2016-08-04,ABC News/Washington Post,A+,682.0,lv,48.0,40.0,47.94886,43.50362,682.0,2016-08-01,8.0,4.445240000000005
U.S.,2016-08-01,2016-08-04,ABC News/Washington Post,A+,682.0,lv,48.0,40.0,47.94886,43.50362,682.0,2016-08-02,8.0,4.445240000000005
U.S.,2016-08-01,2016-08-04,ABC News/Washington Post,A+,682.0,lv,48.0,40.0,47.94886,43.50362,682.0,2016-08-03,8.0,4.445240000000005
U.S.,2016-08-01,2016-08-04,ABC News/Washington Post,A+,682.0,lv,48.0,40.0,47.94886,43.50362,682.0,2016-08-04,8.0,4.445240000000005
U.S.,2016-09-05,2016-09-08,ABC News/Washington Post,A+,642.0,lv,46.0,41.0,46.73444,43.17135,642.0,2016-09-05,5.0,3.5630900000000025
U.S.,2016-09-05,2016-09-08,ABC News/Washington Post,A+,642.0,lv,46.0,41.0,46.73444,43.17135,642.0,2016-09-06,5.0,3.5630900000000025
U.S.,2016-09-05,2016-09-08,ABC News/Washington Post,A+,642.0,lv,46.0,41.0,46.73444,43.17135,642.0,2016-09-07,5.0,3.5630900000000025
U.S.,2016-09-05,2016-09-08,ABC News/Washington Post,A+,642.0,lv,46.0,41.0,46.73444,43.17135,642.0,2016-09-08,5.0,3.5630900000000025
U.S.,2016-09-19,2016-09-22,ABC News/Washington Post,A+,651.0,lv,46.0,44.0,46.44742,45.67364,651.0,2016-09-19,2.0,0.7737800000000021
U.S.,2016-09-19,2016-09-22,ABC News/Washington Post,A+,651.0,lv,46.0,44.0,46.44742,45.67364,651.0,2016-09-20,2.0,0.7737800000000021
U.S.,2016-09-19,2016-09-22,ABC News/Washington Post,A+,651.0,lv,46.0,44.0,46.44742,45.67364,651.0,2016-09-21,2.0,0.7737800000000021
U.S.,2016-09-19,2016-09-22,ABC News/Washington Post,A+,651.0,lv,46.0,44.0,46.44742,45.67364,651.0,2016-09-22,2.0,0.7737800000000021
U.S.,2016-10-10,2016-10-13,ABC News/Washington Post,A+,740.0,lv,47.0,43.0,45.57932,45.02221,740.0,2016-10-10,4.0,0.5571100000000015
U.S.,2016-10-10,2016-10-13,ABC News/Washington Post,A+,740.0,lv,47.0,43.0,45.57932,45.02221,740.0,2016-10-11,4.0,0.5571100000000015
U.S.,2016-10-10,2016-10-13,ABC News/Washington Post,A+,740.0,lv,47.0,43.0,45.57932,45.02221,740.0,2016-10-12,4.0,0.5571100000000015
U.S.,2016-10-10,2016-10-13,ABC News/Washington Post,A+,740.0,lv,47.0,43.0,45.57932,45.02221,740.0,2016-10-13,4.0,0.5571100000000015
U.S.,2016-10-20,2016-10-20,ABC News/Washington Post,A+,1155.0,lv,50.0,38.0,48.29338,39.0076,1155.0,2016-10-20,12.0,9.285780000000003
U.S.,2016-10-21,2016-10-21,ABC News/Washington Post,A+,1119.0,lv,49.0,40.0,47.29336,40.85751,1119.0,2016-10-21,9.0,6.435850000000002
U.S.,2016-10-22,2016-10-22,ABC News/Washington Post,A+,1135.0,lv,48.0,42.0,46.31169,42.67918,1135.0,2016-10-22,6.0,3.6325099999999964
U.S.,2016-10-23,2016-10-23,ABC News/Washington Post,A+,1109.0,lv,48.0,44.0,46.34822,44.48296,1109.0,2016-10-23,4.0,1.8652599999999993
U.S.,2016-10-24,2016-10-24,ABC News/Washington Post,A+,1148.0,lv,47.0,45.0,45.38023,45.25361,1148.0,2016-10-24,2.0,0.12661999999999551
U.S.,2016-10-25,2016-10-25,ABC News/Washington Post,A+,1160.0,lv,46.0,45.0,44.38908,45.02953,1160.0,2016-10-25,1.0,-0.6404500000000013
U.S.,2016-10-26,2016-10-26,ABC News/Washington Post,A+,1165.0,lv,46.0,45.0,44.39219,44.81799,1165.0,2016-10-26,1.0,-0.4258000000000024
U.S.,2016-10-27,2016-10-27,ABC News/Washington Post,A+,1128.0,lv,45.0,46.0,43.40125,45.61209,1128.0,2016-10-27,-1.0,-2.2108400000000046
U.S.,2016-10-28,2016-10-28,ABC News/Washington Post,A+,1182.0,lv,46.0,46.0,44.40672,45.38988,1182.0,2016-10-28,0.0,-0.983159999999998
U.S.,2016-10-29,2016-10-29,ABC News/Washington Post,A+,1167.0,lv,47.0,45.0,45.4049,44.19081,1167.0,2016-10-29,2.0,1.2140899999999988
U.S.,2016-10-30,2016-10-30,ABC News/Washington Post,A+,1151.0,lv,47.0,44.0,45.39959,43.04363,1151.0,2016-10-30,3.0,2.355960000000003
U.S.,2016-10-31,2016-10-31,ABC News/Washington Post,A+,1419.0,lv,47.0,43.0,45.38686,41.91655,1419.0,2016-10-31,4.0,3.470309999999998
U.S.,2016-11-01,2016-11-01,ABC News/Washington Post,A+,1685.0,lv,48.0,43.0,46.3462,41.81491,1685.0,2016-11-01,5.0,4.531290000000006
U.S.,2016-11-02,2016-11-02,ABC News/Washington Post,A+,1937.0,lv,47.0,43.0,45.28374,41.76419,1937.0,2016-11-02,4.0,3.5195500000000024
U.S.,2016-11-03,2016-11-06,ABC News/Washington Post,A+,2220.0,lv,47.0,43.0,45.20163,41.7243,2220.0,2016-11-03,4.0,3.477330000000002
U.S.,2016-11-03,2016-11-06,ABC News/Washington Post,A+,2220.0,lv,47.0,43.0,45.20163,41.7243,2220.0,2016-11-04,4.0,3.477330000000002
U.S.,2016-11-03,2016-11-06,ABC News/Washington Post,A+,2220.0,lv,47.0,43.0,45.20163,41.7243,2220.0,2016-11-05,4.0,3.477330000000002
U.S.,2016-11-03,2016-11-06,ABC News/Washington Post,A+,2220.0,lv,47.0,43.0,45.20163,41.7243,2220.0,2016-11-06,4.0,3.477330000000002
U.S.,2015-12-10,2015-12-13,ABC News/Washington Post,A+,851.0,rv,50.0,44.0,47.98524,44.04879,851.0,2015-12-10,6.0,3.9364500000000007
U.S.,2015-12-10,2015-12-13,ABC News/Washington Post,A+,851.0,rv,50.0,44.0,47.98524,44.04879,851.0,2015-12-11,6.0,3.9364500000000007
U.S.,2015-12-10,2015-12-13,ABC News/Washington Post,A+,851.0,rv,50.0,44.0,47.98524,44.04879,851.0,2015-12-12,6.0,3.9364500000000007
U.S.,2015-12-10,2015-12-13,ABC News/Washington Post,A+,851.0,rv,50.0,44.0,47.98524,44.04879,851.0,2015-12-13,6.0,3.9364500000000007
U.S.,2016-03-03,2016-03-06,ABC News/Washington Post,A+,864.0,rv,50.0,41.0,47.47866,43.01402,864.0,2016-03-03,9.0,4.464639999999996
U.S.,2016-03-03,2016-03-06,ABC News/Washington Post,A+,864.0,rv,50.0,41.0,47.47866,43.01402,864.0,2016-03-04,9.0,4.464639999999996
U.S.,2016-03-03,2016-03-06,ABC News/Washington Post,A+,864.0,rv,50.0,41.0,47.47866,43.01402,864.0,2016-03-05,9.0,4.464639999999996
U.S.,2016-03-03,2016-03-06,ABC News/Washington Post,A+,864.0,rv,50.0,41.0,47.47866,43.01402,864.0,2016-03-06,9.0,4.464639999999996
