index,day,state,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump,c_minus_t_raw,c_minus_t_adj
0,2015-12-02,U.S.,47.5,44.0,45.99358,43.09443,3.5,2.899149999999999
1,2015-12-03,U.S.,47.5,44.0,45.99358,43.09443,3.5,2.899149999999999
2,2015-12-04,U.S.,47.5,44.0,45.99358,43.09443,3.5,2.899149999999999
3,2015-12-05,U.S.,47.5,44.0,45.99358,43.09443,3.5,2.899149999999999
4,2015-12-06,U.S.,47.5,44.0,45.99358,43.09443,3.5,2.899149999999999
5,2015-12-13,U.S.,43.0,33.0,41.40265,32.10275,10.0,9.299900000000001
6,2015-12-14,U.S.,43.5,30.6,41.89856,29.72806,12.899999999999999,12.170500000000004
7,2015-12-15,U.S.,42.6,32.1,40.99447,31.25336,10.5,9.741109999999999
8,2015-12-16,U.S.,43.5,30.7,41.89038,29.87999,12.8,12.010390000000001
9,2015-12-17,U.S.,43.7,31.4,42.08605,30.60602,12.300000000000004,11.48003
10,2015-12-18,U.S.,43.2,32.0,41.58025,31.23407,11.200000000000003,10.34618
11,2015-12-19,U.S.,41.7,33.8,40.07498,33.06032,7.900000000000006,7.014659999999999
12,2015-12-20,U.S.,42.5,34.2,40.86942,33.48701,8.299999999999997,7.38241
13,2015-12-21,U.S.,42.1,35.9,40.46344,35.21469,6.200000000000003,5.248750000000001
14,2015-12-22,U.S.,42.1,36.2,40.45721,35.54269,5.899999999999999,4.914520000000003
15,2015-12-23,U.S.,42.4,35.6,40.75249,34.96897,6.799999999999997,5.783520000000003
16,2015-12-24,U.S.,43.2,34.0,41.5478,33.39547,9.200000000000003,8.15233
17,2015-12-25,U.S.,42.8,34.8,41.14317,34.22219,8.0,6.92098
18,2015-12-26,U.S.,42.6,34.9,40.93865,34.34912,7.700000000000003,6.589530000000003
19,2015-12-27,U.S.,43.2,34.9,41.53489,34.37496,8.300000000000004,7.159929999999996
20,2015-12-28,U.S.,38.0,41.0,36.33124,40.50216,-3.0,-4.170920000000002
21,2015-12-29,U.S.,43.5,35.7,41.82758,35.22936,7.799999999999997,6.598219999999998
22,2015-12-30,U.S.,42.6,35.2,40.92393,34.75656,7.399999999999999,6.167369999999998
23,2015-12-31,U.S.,42.8,35.6,41.12028,35.18376,7.199999999999996,5.936520000000002
24,2016-01-01,U.S.,41.8,36.4,40.11739,36.00981,5.399999999999999,4.107579999999999
25,2016-01-02,U.S.,41.9,36.6,40.21469,36.2342,5.299999999999997,3.980489999999996
26,2016-01-03,U.S.,40.1,38.1,38.41105,37.75917,2.0,0.6518800000000056
27,2016-01-04,U.S.,41.2,38.1,39.50578,37.78483,3.1000000000000014,1.720950000000002
28,2016-01-05,U.S.,41.6,36.9,39.90166,36.60923,4.700000000000003,3.292430000000003
29,2016-01-06,U.S.,42.6,35.6,40.89772,35.33364,7.0,5.564079999999997
30,2016-01-07,U.S.,43.1,34.9,41.39394,34.65771,8.200000000000003,6.736229999999999
31,2016-01-08,U.S.,44.9,34.9,43.18899,34.68298,10.0,8.506009999999996
32,2016-01-09,U.S.,43.9,35.6,42.18397,35.40778,8.299999999999997,6.77619
33,2016-01-10,U.S.,43.5,36.4,41.77744,36.23294,7.100000000000001,5.544499999999999
34,2016-01-11,U.S.,43.7,37.1,41.97243,36.95761,6.600000000000001,5.01482
35,2016-01-12,U.S.,44.7,35.7,42.96768,35.58157,9.0,7.386110000000002
36,2016-01-13,New Hampshire,48.0,39.0,45.43638,40.11061,9.0,5.325769999999999
37,2016-01-13,U.S.,44.4,34.8,42.6636,34.70544,9.600000000000001,7.9581599999999995
38,2016-01-14,New Hampshire,48.0,39.0,45.43638,40.11061,9.0,5.325769999999999
39,2016-01-14,U.S.,43.6,35.6,41.8583,35.53011,8.0,6.328189999999999
40,2016-01-15,New Hampshire,48.0,39.0,45.43638,40.11061,9.0,5.325769999999999
41,2016-01-15,U.S.,42.0,37.6,40.25211,37.55684,4.399999999999999,2.6952700000000007
42,2016-01-16,New Hampshire,48.0,39.0,45.43638,40.11061,9.0,5.325769999999999
43,2016-01-16,U.S.,41.7,39.1,39.94555,39.08231,2.6000000000000014,0.8632399999999976
44,2016-01-17,New Hampshire,48.0,39.0,45.43638,40.11061,9.0,5.325769999999999
45,2016-01-17,U.S.,41.7,40.0,39.93962,40.00631,1.7000000000000028,-0.06669000000000125
46,2016-01-18,New Hampshire,48.0,39.0,45.43638,40.11061,9.0,5.325769999999999
47,2016-01-18,U.S.,41.3,41.0,39.53263,41.03066,0.29999999999999716,-1.49803
48,2016-01-19,U.S.,42.6,39.8,40.82732,39.85463,2.8000000000000043,0.97269
49,2016-01-20,U.S.,45.3,36.6,43.52385,36.67766,8.699999999999996,6.84619
50,2016-01-21,U.S.,46.5,34.7,44.71962,34.80032,11.799999999999997,9.9193
51,2016-01-22,U.S.,45.3,36.0,43.51364,36.12381,9.299999999999997,7.3898300000000035
52,2016-01-23,Michigan,43.0,41.0,42.14966,42.05508,2.0,0.09458000000000055
53,2016-01-23,U.S.,46.2,35.3,44.40942,35.44692,10.900000000000006,8.962499999999999
54,2016-01-24,Michigan,43.0,41.0,42.14966,42.05508,2.0,0.09458000000000055
55,2016-01-24,U.S.,45.1,36.2,43.30488,36.36977,8.899999999999999,6.935109999999995
56,2016-01-25,Michigan,43.0,41.0,42.14966,42.05508,2.0,0.09458000000000055
57,2016-01-25,U.S.,45.8,36.4,43.99805,36.59398,9.399999999999999,7.404069999999997
58,2016-01-26,Michigan,43.0,41.0,42.14966,42.05508,2.0,0.09458000000000055
59,2016-01-26,U.S.,46.5,35.7,44.69149,35.91728,10.799999999999997,8.774210000000004
60,2016-01-27,U.S.,46.7,35.6,44.8849,35.84199,11.100000000000001,9.04291
61,2016-01-28,U.S.,46.2,35.5,44.37838,35.7668,10.700000000000003,8.611579999999996
