Day,Florida,Michigan,Pennsylvania,U.S.,Wisconsin
2016-09-01,-2.405676253,9.121300553,4.407077451,3.00380074,5.915607878
2016-09-02,-3.141129139,8.724457906,4.249350947,3.028933729,7.251028185
2016-09-03,-3.32499236,8.625247244,3.387066988,2.984384258,7.584883261
2016-09-04,-3.158950671,8.585562979,3.042153404,3.087703382,7.718425292
2016-09-05,-3.075929826,8.565720847,2.869696612,3.033526024,7.785196307
2016-09-06,-2.693419963,8.349778571,2.771149874,2.889655373,7.823351173
2016-09-07,-2.528907458,8.067971501,2.609093305,2.77002596,7.651814568
2016-09-08,-2.488411813,7.98582285,2.13983865,2.653649619,7.537456832
2016-09-09,-2.506805655,8.029757635,1.60109602,2.544527222,7.16904556
2016-09-10,-2.382237148,7.83672468,1.657520549,2.574431553,6.901110089
2016-09-11,-2.288810769,7.691949964,1.699838946,2.479073039,6.700158485
2016-09-12,-2.363786776,7.580584798,1.877621585,2.560255111,6.545580329
2016-09-13,-2.414877884,7.493083595,2.017307944,2.563234882,6.424126064
2016-09-14,-2.53490933,7.500889684,2.181896751,2.647834532,6.855178493
2016-09-15,-2.626635044,7.507232132,2.315625157,2.784658567,6.921656096
2016-09-16,-2.357811046,7.512455324,2.360938708,2.931771142,6.97742583
2016-09-17,-2.27297164,7.516807983,2.263972949,3.086562369,7.023900608
2016-09-18,-2.201527929,7.520473381,2.182317573,3.203508632,7.063037263
2016-09-19,-2.130517495,7.523588969,2.123167016,3.26997221,7.198803544
2016-09-20,-2.182860544,7.526259474,1.955534121,3.275069603,7.315174641
2016-09-21,-2.127188368,7.711944957,1.845948196,3.209183545,7.285133813
2016-09-22,-2.097452351,7.873410594,1.750656088,3.11069805,7.259011354
2016-09-23,-2.194496577,8.048779848,1.733078389,3.000860693,7.340624671
2016-09-24,-2.279895497,8.203104793,1.671952434,2.925213065,7.412444389
2016-09-25,-2.355440694,8.339623012,1.617879474,2.905017034,7.475977217
2016-09-26,-2.422591981,8.460972541,1.568525464,2.845117624,7.532450842
2016-09-27,-2.199223572,8.408989648,1.69314657,2.882177106,7.664319117
2016-09-28,-2.002542178,8.448502058,1.873917823,2.969226949,7.782545847
2016-09-29,-1.841158863,8.528821413,2.002036194,3.016299223,7.888949903
2016-09-30,-1.68519289,8.705177068,2.231403405,3.075693116,8.017490257
2016-10-01,0.576313706,11.19668715,5.557227963,4.092649982,9.88132539
2016-10-02,0.723228866,11.19668715,5.557227963,3.99016155,9.88132539
2016-10-03,0.64659746,11.19668715,6.229920658,3.67246836,9.88132539
2016-10-04,1.134987596,10.6384022,5.75692351,3.807906821,9.183746284
2016-10-05,1.565293766,10.35925973,6.285832481,4.191219116,8.909458539
2016-10-06,1.748458799,10.19974974,6.588066178,4.395858486,8.637499438
2016-10-07,1.915346803,10.01389016,6.639663314,4.611028085,8.463564591
2016-10-08,1.817671571,9.823316532,6.595562821,4.760424493,8.402955234
2016-10-09,1.749298909,9.689914991,6.564692476,4.850840466,8.360528684
2016-10-10,1.655863318,9.412022148,6.5129884,4.813368226,8.252854865
2016-10-11,1.585786625,9.252012419,6.361035902,4.811318023,8.172099501
2016-10-12,1.565463759,9.01102409,6.124904486,4.957505616,8.10997999
2016-10-13,1.622937251,8.821676117,5.889284641,5.006682826,8.069208768
2016-10-14,1.583522145,8.647723244,5.838831197,5.019289346,8.076060165
2016-10-15,1.589192572,8.670907381,5.761562154,5.077811407,7.923042654
2016-10-16,1.605235442,8.631686571,5.722713545,5.123821624,7.797028232
2016-10-17,1.716554064,8.504614104,5.674964646,5.117288016,7.538620409
2016-10-18,1.787470306,8.456244126,5.696892366,5.020921251,7.403416544
2016-10-19,1.814651186,8.331573606,5.715530928,4.888309708,7.277924281
2016-10-20,1.77323356,8.225276897,5.637640127,4.929361015,7.139272333
2016-10-21,1.727689535,8.136368681,5.482769576,4.973793183,7.091699637
2016-10-22,1.781440415,8.056309528,5.348099532,5.027384198,7.050332075
2016-10-23,1.849691369,7.996404158,5.290681835,5.053824605,7.077701671
2016-10-24,1.876041705,7.910671305,5.302552989,5.057993709,7.156262065
2016-10-25,1.834029644,7.782277974,5.26470015,4.927695409,7.107662215
2016-10-26,1.806461929,7.668936072,5.22733426,4.824067403,7.056922704
2016-10-27,1.67103962,7.573415783,5.147778646,4.636159923,7.002116684
2016-10-28,1.57175585,7.432857134,5.057768104,4.484747569,6.945122118
2016-10-29,1.48332953,7.284368109,4.936867771,4.373471439,6.866150511
2016-10-30,1.369027885,7.156032556,4.85519445,4.277877473,6.770023661
2016-10-31,1.236479521,6.958779186,4.750103749,4.192072833,6.719856607
2016-11-01,-0.01860007,3.236877422,3.088349952,3.118806373,6.252132258
2016-11-02,-0.056483632,3.233866053,2.201291213,2.844858454,6.193081959
2016-11-03,0.115218984,3.309778849,1.822751579,2.866518551,6.065868745
2016-11-04,0.18390003,3.371393035,1.72285978,2.969299847,6.014983459
2016-11-05,0.296375456,3.302021833,1.46091329,3.007467881,5.989540816
2016-11-06,0.201860725,3.162795148,1.462988773,3.015156026,5.975002163
2016-11-07,0.02844968,2.798547454,1.592810822,2.724447797,5.966612413
