state,startdate,enddate,pollster,grade,samplesize,population,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump,samplesizeadj
U.S.,2016-11-03,2016-11-06,ABC News/Washington Post,A+,2220.0,lv,47.0,43.0,45.20163,41.7243,2220.0
U.S.,2016-11-01,2016-11-07,Google Consumer Surveys,B,26574.0,lv,38.03,35.69,43.34557,41.21439,5000.0
U.S.,2016-11-02,2016-11-06,Ipsos,A-,2195.0,lv,42.0,39.0,42.02638,38.8162,2195.0
U.S.,2016-11-04,2016-11-07,YouGov,B,3677.0,lv,45.0,41.0,45.65676,40.92004,3677.0
U.S.,2016-11-03,2016-11-06,Gravis Marketing,B-,16639.0,rv,47.0,43.0,46.84089,42.33184,5000.0
U.S.,2016-11-03,2016-11-06,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1295.0,lv,48.0,44.0,49.02208,43.95631,1295.0
U.S.,2016-11-02,2016-11-06,CBS News/New York Times,A-,1426.0,lv,45.0,41.0,45.11649,40.92722,1426.0
U.S.,2016-11-03,2016-11-05,NBC News/Wall Street Journal,A-,1282.0,lv,44.0,40.0,43.58576,40.77325,1282.0
New Mexico,2016-11-06,2016-11-06,Zia Poll,,8439.0,lv,46.0,44.0,44.82594,41.59978,5000.0
U.S.,2016-11-04,2016-11-07,IBD/TIPP,A-,1107.0,lv,41.2,42.7,42.92745,42.23545,1107.0
U.S.,2016-11-04,2016-11-06,Selzer & Company,A+,799.0,lv,44.0,41.0,44.21714,40.57082,799.0
U.S.,2016-11-01,2016-11-04,Angus Reid Global,A-,1151.0,lv,48.0,44.0,47.57171,43.68125,1151.0
U.S.,2016-11-03,2016-11-06,Monmouth University,A+,748.0,lv,50.0,44.0,48.86765,43.396,748.0
Virginia,2016-11-03,2016-11-04,Public Policy Polling,B+,1238.0,lv,48.0,43.0,47.43805,42.32751,1238.0
U.S.,2016-11-01,2016-11-03,Marist College,A,940.0,lv,44.0,43.0,42.83406,43.43819,940.0
Iowa,2016-11-01,2016-11-04,Selzer & Company,A+,800.0,lv,39.0,46.0,39.37561,45.66917,800.0
U.S.,2016-11-05,2016-11-07,The Times-Picayune/Lucid,,2521.0,lv,45.0,40.0,45.13966,42.26495,2521.0
Wisconsin,2016-10-26,2016-10-31,Marquette University,A,1255.0,lv,46.0,40.0,46.10344,40.97982,1255.0
North Carolina,2016-11-04,2016-11-06,Siena College,A,800.0,lv,44.0,44.0,44.21875,45.0829,800.0
Georgia,2016-11-06,2016-11-06,Landmark Communications,B,1200.0,lv,46.0,49.0,45.0647,48.80363,1200.0
