Cluster,,Avg # of Servers,1,2,3
Week day,0:00 - 4:00,-,-,-,-
,4:00 - 8:00,1.8299,19.40%,78.10%,2.40%
,8:00 - 12:00,1.3071,70.10%,29.00%,0.90%
,12:00 - 16:00,1.2721,73.60%,25.70%,0.80%
,16:00 - 20:00,1.4371,57.70%,40.90%,1.40%
,20:00 - 0:00,1.0301,97.00%,3.00%,0.00%
Week-end,0:00 - 4:00,-,-,-,-
,4:00 - 8:00,1.8204,21.40%,75.10%,3.40%
,8:00 - 12:00,1.1766,82.30%,17.70%,0.00%
,12:00 - 16:00,1.2329,76.70%,23.30%,0.00%
,16:00 - 20:00,1.531,51.80%,43.30%,4.90%
,20:00 - 0:00,1,100.00%,0.00%,0.00%
