Cluster,,Performance,,,,,
,,5m,10m,15m,20m,25m,30m
Week day,0:00 - 4:00,-,-,-,-,-,-
,4:00 - 8:00,47.60%,76.30%,91.20%,98.10%,99.70%,99.90%
,8:00 - 12:00,57.20%,81.10%,91.70%,96.70%,98.50%,99.70%
,12:00 - 16:00,68.40%,89.20%,96.40%,98.80%,99.40%,99.70%
,16:00 - 20:00,77.20%,94.60%,98.70%,99.60%,99.80%,99.90%
,20:00 - 0:00,93.20%,99.70%,99.90%,100.00%,100.00%,100.00%
Week-end,0:00 - 4:00,-,-,-,-,-,-
,4:00 - 8:00,56.50%,85.50%,97.30%,99.30%,99.80%,99.90%
,8:00 - 12:00,67.40%,89.70%,96.60%,98.90%,99.50%,99.90%
,12:00 - 16:00,68.10%,89.60%,97.80%,99.80%,100.00%,100.00%
,16:00 - 20:00,67.00%,89.60%,95.30%,97.30%,98.60%,99.70%
,20:00 - 0:00,91.70%,98.90%,100.00%,100.00%,100.00%,100.00%
