cluster,hour_cluster,Avg_Servers,1_server_percentage,2_servers_percentage,3_servers_percentage
1 - WEEKDAY,4:00 - 8:00,1.81,19.44,78.13,2.43
1 - WEEKDAY,8:00 - 12:00,1.19,70.14,29.0,0.86
1 - WEEKDAY,12:00 - 16:00,1.24,73.56,25.67,0.77
1 - WEEKDAY,16:00 - 20:00,1.27,57.72,40.85,1.43
1 - WEEKDAY,20:00 - 0:00,1.02,96.99,3.01,0.0
2 - WEEKEND,4:00 - 8:00,1.79,21.41,75.14,3.45
2 - WEEKEND,8:00 - 12:00,1.12,82.34,17.66,0.0
2 - WEEKEND,12:00 - 16:00,1.22,76.71,23.29,0.0
2 - WEEKEND,16:00 - 20:00,1.33,51.8,43.31,4.9
2 - WEEKEND,20:00 - 0:00,1.0,100.0,0.0,0.0
