day,interval_start,max_Servers
1,2028-08-01 21:00:00,0.0
3,2028-08-03 20:00:00,1.0
4,2028-08-04 21:00:00,0.0
5,2028-08-05 13:00:00,1.0
6,2028-08-06 07:00:00,2.0
6,2028-08-06 15:30:00,1.0
8,2028-08-08 09:15:00,1.0
10,2028-08-10 18:15:00,1.0
10,2028-08-10 18:30:00,1.0
31,2028-08-31 18:45:00,2.0
31,2028-08-31 19:00:00,1.0
31,2028-08-31 19:15:00,1.0
1,2028-09-01 06:30:00,2.0
1,2028-09-01 06:45:00,2.0
1,2028-09-01 07:00:00,2.0
1,2028-09-01 07:15:00,2.0
1,2028-09-01 07:30:00,1.0
1,2028-09-01 07:45:00,1.0
1,2028-09-01 08:00:00,1.0
1,2028-09-01 08:15:00,1.0
1,2028-09-01 08:30:00,1.0
1,2028-09-01 08:45:00,2.0
1,2028-09-01 09:00:00,2.0
1,2028-09-01 09:15:00,1.0
1,2028-09-01 09:30:00,1.0
1,2028-09-01 10:00:00,1.0
1,2028-09-01 10:15:00,1.0
1,2028-09-01 10:30:00,1.0
1,2028-09-01 10:45:00,1.0
1,2028-09-01 11:00:00,1.0
1,2028-09-01 11:15:00,1.0
1,2028-09-01 11:30:00,1.0
1,2028-09-01 11:45:00,1.0
1,2028-09-01 12:00:00,1.0
1,2028-09-01 12:15:00,1.0
1,2028-09-01 12:30:00,1.0
1,2028-09-01 12:45:00,1.0
1,2028-09-01 13:00:00,1.0
1,2028-09-01 13:15:00,1.0
1,2028-09-01 13:30:00,1.0
1,2028-09-01 13:45:00,1.0
1,2028-09-01 14:00:00,1.0
1,2028-09-01 14:15:00,2.0
1,2028-09-01 14:30:00,2.0
1,2028-09-01 14:45:00,1.0
1,2028-09-01 15:00:00,2.0
1,2028-09-01 15:15:00,2.0
1,2028-09-01 15:30:00,1.0
1,2028-09-01 15:45:00,1.0
1,2028-09-01 16:00:00,1.0
1,2028-09-01 16:15:00,1.0
1,2028-09-01 16:30:00,1.0
1,2028-09-01 16:45:00,1.0
1,2028-09-01 17:00:00,1.0
1,2028-09-01 17:15:00,1.0
1,2028-09-01 17:30:00,1.0
1,2028-09-01 17:45:00,1.0
1,2028-09-01 18:00:00,1.0
1,2028-09-01 18:45:00,1.0
1,2028-09-01 19:00:00,1.0
1,2028-09-01 19:15:00,1.0
1,2028-09-01 20:30:00,1.0
1,2028-09-01 21:00:00,1.0
2,2028-09-02 06:30:00,2.0
2,2028-09-02 06:45:00,2.0
2,2028-09-02 07:00:00,1.0
2,2028-09-02 07:15:00,1.0
2,2028-09-02 07:30:00,1.0
2,2028-09-02 07:45:00,1.0
2,2028-09-02 08:00:00,1.0
2,2028-09-02 08:15:00,1.0
2,2028-09-02 08:30:00,1.0
2,2028-09-02 08:45:00,1.0
2,2028-09-02 09:00:00,1.0
2,2028-09-02 09:15:00,1.0
2,2028-09-02 09:30:00,1.0
2,2028-09-02 09:45:00,1.0
2,2028-09-02 10:00:00,1.0
2,2028-09-02 10:15:00,1.0
2,2028-09-02 10:30:00,1.0
