"","Airfield","Flight_ID","Sch_Departure","Act_Departure","Time_of_Day","Period_of_Week","Day_of_Week","Month","Season","Year","tot_pass","N","min","mean","median","max","mean_WTL","mean_City_Flag","mode_BFO_Dest_City","sum_city_mode","N_of_Dest_City","mode_BFO_Dest_Country_Code","sum_country_mode","N_of_Dest_Country","Delay_in_Seconds"
"1","AUC",18095,1851408360,1851408360,"2 - MORNING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",55,19,2,6.15789473684211,7,10,0,0,"BORQUE",55,1,"BOR",55,1,0
"2","AUC",18096,1851408780,1851408780,"2 - MORNING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",38,22,2,6.63636363636364,6,11,0,0,"VES033",38,1,"VES",38,1,0
"3","AUC",18097,1851410760,1851410760,"2 - MORNING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",32,26,2,4.38461538461539,4,11,0,0,"BORQUE",32,1,"BOR",32,1,0
"4","AUC",18098,1851411960,1851411960,"2 - MORNING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",21,20,4,5.55,5.5,8,0,0,"VES064",21,1,"VES",21,1,0
"5","AUC",18099,1851413760,1851413760,"2 - MORNING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",57,47,1,6.97872340425532,7,14,0,0,"BORCWL",50,2,"BOR",57,1,0
"6","AUC",18100,1851414900,1851414900,"2 - MORNING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",44,35,2,6.17142857142857,5,13,0,0,"BORQUE",44,1,"BOR",44,1,0
"7","AUC",18101,1851415560,1851415560,"2 - MORNING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",16,6,2,5.16666666666667,5,9,0,0,"NEN003",16,1,"NEN",16,1,0
"8","AUC",18102,1851416160,1851419040,"2 - MORNING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",35,23,1,3.95652173913043,3,13,0,0,"BORCWL",35,1,"BOR",35,1,2880
"9","AUC",18103,1851422640,1851422640,"3 - AFTERNOON","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",38,36,1,2.27777777777778,2,4,0,0,"BORQUE",38,1,"BOR",38,1,0
"10","AUC",18104,1851428460,1851428460,"3 - AFTERNOON","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",24,21,1,2.42857142857143,2,5,0,0,"VES064",24,1,"VES",24,1,0
"11","AUC",18105,1851431760,1851431760,"3 - AFTERNOON","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",23,23,1,3.56521739130435,3,6,0,0,"BORQUE",23,1,"BOR",23,1,0
"12","AUC",18106,1851431880,1851443460,"4 - EVENING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",38,35,1,3.05714285714286,3,7,0,0,"BORQUE",38,1,"BOR",38,1,11580
"13","AUC",18107,1851433560,1851433560,"3 - AFTERNOON","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",36,30,1,3.06666666666667,3,8,0,0,"BORQUE",36,1,"BOR",36,1,0
"14","AUC",18108,1851436260,1851436260,"3 - AFTERNOON","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",43,40,1,5.325,5,13,0,0,"BORCWL",43,1,"BOR",43,1,0
"15","AUC",18109,1851437160,1851437160,"3 - AFTERNOON","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",30,30,3,6.03333333333333,6,14,0,0,"BORCWL",30,1,"BOR",30,1,0
"16","AUC",18110,1851438600,1851438600,"3 - AFTERNOON","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",50,46,1,4.95652173913043,4,11,0,0,"BORQUE",50,1,"BOR",50,1,0
"17","AUC",18111,1851441120,1851441120,"3 - AFTERNOON","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",46,42,1,4.16666666666667,3,12,0,0,"VES033",46,1,"VES",46,1,0
"18","AUC",18112,1851448260,1851448260,"4 - EVENING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",8,4,1,2.5,2,5,0,0,"BORQUE",8,1,"BOR",8,1,0
