Cluster,Est Serv Rate,Est ρ,<= 5 mins,<= 10 mins,<= 15 mins,<= 20 mins,<= 25 mins,<= 30 mins
Weekday - 0:00 - 4:00,,,N/A,N/A,N/A,N/A,N/A,N/A
Weekday - 4:00 - 8:00,34.869,0.996,46.7%,71.5%,84.7%,91.8%,95.6%,97.7%
Weekday - 8:00 - 12:00,47.672,0.997,54.3%,79.0%,90.4%,95.6%,98.0%,99.1%
Weekday - 12:00 - 16:00,50.115,0.996,63.4%,86.5%,95.1%,98.2%,99.3%,99.8%
Weekday - 16:00 - 20:00,48.147,0.995,69.8%,90.8%,97.2%,99.2%,99.7%,99.9%
Weekday - 20:00 - 0:00,3.546,0.895,86.1%,97.8%,99.7%,99.9%,100.0%,100.0%
Weekend - 0:00 - 4:00,,,N/A,N/A,N/A,N/A,N/A,N/A
Weekend - 4:00 - 8:00,33.938,0.995,56.4%,80.9%,91.6%,96.3%,98.4%,99.3%
Weekend - 8:00 - 12:00,42.455,0.995,62.4%,85.8%,94.6%,98.0%,99.2%,99.7%
Weekend - 12:00 - 16:00,53.943,0.996,64.5%,87.4%,95.5%,98.4%,99.4%,99.8%
Weekend - 16:00 - 20:00,57.966,0.996,63.9%,86.9%,95.3%,98.3%,99.4%,99.8%
Weekend - 20:00 - 0:00,3.557,0.895,86.3%,97.9%,99.7%,100.0%,100.0%,100.0%
