Cluster,Class,Est Serv Rate (per minute),Est ρ,<= 5 mins,<= 10 mins,<= 15 mins,<= 20 mins,<= 25 mins,<= 30 mins
Weekday - 0:00 - 4:00,,,,N/A,N/A,N/A,N/A,N/A,N/A
Weekday - 4:00 - 8:00,0.4,0.935,0.782,71.8%,89.8%,96.3%,98.7%,99.5%,99.8%
Weekday - 8:00 - 12:00,0.8,1.211,0.878,58.1%,80.0%,90.4%,95.4%,97.8%,99.0%
Weekday - 12:00 - 16:00,0.8,1.196,0.88,57.2%,79.1%,89.8%,95.0%,97.6%,98.8%
Weekday - 16:00 - 20:00,0.8,1.252,0.871,61.3%,82.8%,92.4%,96.6%,98.5%,99.3%
Weekday - 20:00 - 0:00,0.1,0.188,0.396,77.5%,87.3%,92.8%,95.9%,97.7%,98.7%
Weekend - 0:00 - 4:00,,,,N/A,N/A,N/A,N/A,N/A,N/A
Weekend - 4:00 - 8:00,0.4,0.914,0.778,71.8%,89.8%,96.3%,98.7%,99.5%,99.8%
Weekend - 8:00 - 12:00,0.8,1.019,0.87,55.2%,76.9%,88.1%,93.9%,96.9%,98.4%
Weekend - 12:00 - 16:00,0.9,1.216,0.885,56.0%,78.1%,89.1%,94.6%,97.3%,98.7%
Weekend - 16:00 - 20:00,0.8,1.437,0.879,63.0%,84.4%,93.4%,97.2%,98.8%,99.5%
Weekend - 20:00 - 0:00,0.1,0.179,0.383,77.9%,87.3%,92.7%,95.8%,97.6%,98.6%
