,Airfield,S2,Wait_Time,C_Start,C0,C_avg,Sch_Departure,Act_Departure,BFO_Dest_City,BFO_Destination_Country_Code,order,Pass_ID,Departure_Date,Departure_Time,Time_of_Day,Period_of_Week,Day_of_Week,Month,Season,Year
1,QUE,2027-01-01 6:29,NA,NA,5,NA,2026-12-23 19:53,2026-12-23 20:05,BOR030,BOR,1186,1590,2026-12-23,20:05:00,4 - EVENING,2 - WEEKEND,3 - WED,12-Dec,4 - AUTUMN,2026
2,QUE,2027-01-02 4:53,NA,NA,6,NA,2026-12-28 13:43,2026-12-28 13:55,BOR050,BOR,5395,5,2026-12-28,13:55:00,3 - AFTERNOON,2 - WEEKEND,1 - MON,12-Dec,4 - AUTUMN,2026
3,QUE,2027-01-06 15:58,NA,NA,6,NA,2026-12-23 8:28,2026-12-23 8:28,BOR030,BOR,30927,31171,2026-12-23,8:28:00,2 - MORNING,2 - WEEKEND,3 - WED,12-Dec,4 - AUTUMN,2026
4,QUE,2027-01-15 17:49,NA,NA,2,NA,2026-12-27 9:03,2026-12-27 9:08,BOR030,BOR,72762,72824,2026-12-27,9:08:00,2 - MORNING,1 - WEEKDAY,7 - SUN,12-Dec,4 - AUTUMN,2026
5,QUE,2027-02-03 7:04,NA,NA,4,NA,2026-12-08 8:28,2026-12-08 8:20,BOR050,BOR,163058,163128,2026-12-08,8:20:00,2 - MORNING,2 - WEEKEND,2 - TUE,12-Dec,4 - AUTUMN,2026
6,QUE,2027-03-14 6:11,NA,NA,5,NA,2026-12-17 6:43,2026-12-17 7:29,BOR050,BOR,429733,411538,2026-12-17,7:29:00,2 - MORNING,2 - WEEKEND,4 - THU,12-Dec,4 - AUTUMN,2026
7,CWL,2027-04-17 3:43,NA,NA,NA,NA,2026-12-24 6:22,2026-12-24 6:20,SAF,BOR,733294,776840,2026-12-24,6:20:00,2 - MORNING,2 - WEEKEND,4 - THU,12-Dec,4 - AUTUMN,2026
8,QUE,2029-12-31 11:35,NA,NA,4,NA,2029-12-31 23:28,2030-01-01 0:11,GRC007,GRC,9968506,9900777,2030-01-01,0:11:00,1 - NIGHT,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
9,AUC,2029-12-31 18:25,NA,NA,1,NA,2029-12-31 20:41,2030-01-01 0:31,QUE,BOR,9970464,9902820,2030-01-01,0:31:00,1 - NIGHT,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
10,AUC,2029-12-31 18:53,NA,NA,1,NA,2029-12-31 20:41,2030-01-01 0:31,QUE,BOR,9970516,9902994,2030-01-01,0:31:00,1 - NIGHT,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
11,AUC,2029-12-31 18:54,NA,NA,1,NA,2029-12-31 20:41,2030-01-01 0:31,QUE,BOR,9970517,9903001,2030-01-01,0:31:00,1 - NIGHT,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
12,AUC,2029-12-31 19:13,2,1,1,1,2029-12-31 20:41,2030-01-01 0:31,QUE,BOR,9970525,9903091,2030-01-01,0:31:00,1 - NIGHT,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
13,SAF,2030-01-01 5:47,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970590,9836928,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
14,SAF,2030-01-01 5:49,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970591,9836933,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
15,SAF,2030-01-01 5:49,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970592,9836934,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
16,SAF,2030-01-01 5:49,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970593,9836935,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
17,SAF,2030-01-01 5:57,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970594,9836954,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
18,SAF,2030-01-01 5:59,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970595,9836964,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
19,SAF,2030-01-01 6:02,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970596,9836983,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
20,SAF,2030-01-01 6:02,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970597,9836984,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
21,SAF,2030-01-01 6:04,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970598,9836991,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
22,SAF,2030-01-01 6:06,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970599,9837003,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
23,SAF,2030-01-01 6:09,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970600,9837010,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
24,SAF,2030-01-01 6:10,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970601,9836932,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
25,SAF,2030-01-01 6:11,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970602,9837013,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
26,SAF,2030-01-01 6:12,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970603,9837017,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
