cluster,hour_cluster,Est_Service_Rate,Traffic_Intensity,5_minutes,10_minutes,15_minutes,20_minutes,25_minutes,30_minutes
1 - WEEKDAY,4:00 - 8:00,34.996,0.996,46.87%,71.68%,84.9%,91.95%,95.71%,97.71%
1 - WEEKDAY,8:00 - 12:00,47.839,0.997,54.95%,79.64%,90.8%,95.84%,98.12%,99.15%
1 - WEEKDAY,12:00 - 16:00,50.314,0.996,64.07%,87.04%,95.33%,98.31%,99.39%,99.78%
1 - WEEKDAY,16:00 - 20:00,48.411,0.995,70.23%,91.09%,97.33%,99.2%,99.76%,99.93%
1 - WEEKDAY,20:00 - 0:00,3.927,0.904,86.28%,97.92%,99.68%,99.95%,99.99%,100.0%
2 - WEEKEND,4:00 - 8:00,34.117,0.995,56.82%,81.26%,91.87%,96.47%,98.47%,99.34%
2 - WEEKEND,8:00 - 12:00,42.668,0.995,63.01%,86.25%,94.89%,98.1%,99.29%,99.74%
2 - WEEKEND,12:00 - 16:00,54.149,0.996,64.93%,87.66%,95.66%,98.47%,99.46%,99.81%
2 - WEEKEND,16:00 - 20:00,58.183,0.996,65.61%,88.13%,95.9%,98.59%,99.51%,99.83%
2 - WEEKEND,20:00 - 0:00,3.958,0.9,87.68%,98.31%,99.77%,99.97%,100.0%,100.0%
