Period_of_Week,hour_cluster,total_count,Avg_Wait,<=5 mins,<=10 mins,<=15 mins,<=20 mins,<=25 mins,<=30 mins
1 - WEEKDAY,12:00 - 16:00,16413,5.130416608610715,60.988241,91.3666,97.160787,99.134832,99.500396,99.780662
1 - WEEKDAY,16:00 - 20:00,17009,4.195472511678378,82.909048,96.213769,99.14751,99.717796,99.905932,99.964725
1 - WEEKDAY,20:00 - 0:00,1162,2.44755244755244,96.815835,100.0,100.0,100.0,100.0,100.0
1 - WEEKDAY,4:00 - 8:00,11400,7.254357240942401,40.342105,80.684211,93.017544,98.736842,99.991228,99.991228
1 - WEEKDAY,8:00 - 12:00,16583,6.5433130699088755,50.895495,84.146415,93.113429,97.376832,98.902491,99.78894
2 - WEEKEND,12:00 - 16:00,6973,5.058405682715013,62.555571,90.95081,98.250394,99.827908,99.985659,99.985659
2 - WEEKEND,16:00 - 20:00,8188,5.074353621326534,53.431851,93.88129,97.447484,98.583293,99.364924,99.841231
2 - WEEKEND,20:00 - 0:00,444,2.453125,97.522523,99.774775,100.0,100.0,100.0,100.0
2 - WEEKEND,4:00 - 8:00,4610,6.005985037406474,49.414317,88.221258,98.02603,99.609544,99.956616,99.956616
2 - WEEKEND,8:00 - 12:00,5746,5.152592301649585,60.442047,91.437522,97.424295,99.23425,99.634528,99.965193
